"molecule_chembl_id","smiles","ido1_ic50","tdo_ic50"
CHEMBL4643572,O=C(Nc1ccc([C@]2(C(=O)Nc3ccc(F)cc3)C[C@@H](O)C2)cc1)c1cccc(Cl)c1,32.0,
CHEMBL4787758,O=C(/C(=N/O)Nc1ccc(F)c(Cl)c1)N1CCC(c2ccccc2)CC1,60000.0,
CHEMBL4786690,C[C@@H](NC(=O)c1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,25.0,
CHEMBL4754556,C[C@@H](NC(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,280.0,
CHEMBL4794508,C[C@@H](CNc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,44.0,
CHEMBL4791547,COc1ccccc1Sc1c[nH]c2ccc(I)cc12,45000.0,
CHEMBL4634284,CC(C)(C)CNCCc1c[nH]c2c1C(=O)C(c1cccnc1)=CC2=O,560.0,
CHEMBL4789491,COCCOC(=O)N1CCCc2nc([C@@H](C)NC(=O)c3ccc(F)cc3)ccc21,10.0,
CHEMBL4849825,CC(C(=O)Nc1ccc(Cl)cc1)N1CCC2C(CCN2C(=O)OC2CC2)C1,11.0,
CHEMBL4857208,Cc1nccc(-n2ncc3c2CCN(C(C)C(=O)Nc2ccc(Cl)cc2)C3)n1,1052.0,
CHEMBL4878270,CC(C(=O)Nc1ccc(Cl)cc1)N1CC(COc2ccnc3ccccc23)C1,50000.0,
CHEMBL4870664,CCC(NC(=O)c1ccc(Cl)cc1)[C@@H]1[C@@H]2C[C@H](Oc3ccnc4ccncc34)C[C@@H]21,23.0,
CHEMBL4857514,CCC(NC(=O)c1ccc(Cl)cc1)[C@H]1[C@@H]2C[C@@H](n3cnc4ncccc43)C[C@@H]21,68.0,
CHEMBL4877654,CCC(NC(=O)c1ccc(Cl)cc1)[C@H]1[C@@H]2C[C@@H](n3cnc4cccnc43)C[C@@H]21,33.0,
CHEMBL5093816,OCCCc1cn(CCNc2nonc2/C(=N/O)Nc2ccc(F)c(Br)c2)nn1,98.0,
CHEMBL5265941,CNC(=O)[C@H]1[C@@H](OC)C2(O)c3ccccc3NC(=O)[C@@]2(C(=O)N[C@@H](CCC(=O)OC)C(=O)C=C(C)C)N1C,10080.0,
CHEMBL4751617,C=C1OC2=C(C(=O)c3ccccc3C2=O)C1(C)C,1010.0,
CHEMBL4868709,CC[C@@H](NC(=O)c1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc(OC)c2C)CC1,2.0,
CHEMBL4865847,Oc1ccccc1-c1nnn[nH]1,700000.0,
CHEMBL5080294,N#Cc1cccc(NC(=O)NCc2ccc(/C(=N/O)Nc3cccc(Br)c3)s2)c1,137.5,
CHEMBL5204616,CC(C(=O)Nc1ccc(Cl)cc1)N1CCC(Oc2ccnc3ccc(F)cc23)CC1,50.0,
CHEMBL5188753,OC(CC1c2cc(F)ncc2-c2cncn21)C1CCCCC1,100.0,
CHEMBL5173884,Cn1cc(-c2cc(F)c(NC(=O)NCC3c4ccccc4-c4cncn43)cc2F)cn1,16.0,
CHEMBL5192977,O=C(Nc1ccc(F)cc1)C1(c2ccc(-c3cnc(C(F)(F)F)cc3CO)cc2)COC1,2.0,
CHEMBL5406101,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3c/c(=N\O)c4ccc(C)cc4o3)CC2)cc1OC,6230.0,
CHEMBL5420491,O=C(Nc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1)N1CCCC1,1000.0,
CHEMBL4854150,O/N=C(/Nc1cccc(F)c1)c1ccc2oc(-c3ccccc3)cc2c1,11000.0,
CHEMBL4870958,COc1ccc(C)c2c1CC1(C(=O)N(C)C(=O)N1C)C1=C2C(=O)c2[nH]cc(CCNCc3ccc4ccccc4c3)c2C1=O,270.5,
CHEMBL5079654,CC(C)CN(CC(C)C)c1ccc(/C(=N/O)Nc2ccc(F)c(Br)c2)cc1NC(=O)NC1CCCCC1,3000.0,
CHEMBL5286519,COc1ccc(-c2ccc(O[C@@H]3CCCC[C@H]3C)c(NC(=O)Nc3ccc(C)cc3)c2)cc1C(=O)O,1000.0,
CHEMBL5433736,Cc1ccc(OCCn2cc(C(=O)C(F)(F)F)c3cc(Br)ccc32)cc1,100.0,
CHEMBL6003894,O=C1c2cc(Cl)ccc2-n2c1nc1cnccc1c2=O,550.0,
CHEMBL5836943,Nc1noc2ncc(-c3ccc(F)cc3)cc12,100000.0,
CHEMBL5764847,CCOC(=O)c1cc2c(N)noc2nc1C(F)F,100000.0,
CHEMBL5808492,Nc1noc2nc(N3CCOCC3)c(F)cc12,100000.0,
CHEMBL5774855,Cc1ncc2c(N)noc2n1,100000.0,
CHEMBL5974011,N=[S@]1(=O)C[C@@H](CNc2nonc2/C(=N/O)N[C@H]2Cc3ccc(F)cc32)C1,102.0,
CHEMBL5803259,CS(=N)(=O)N1CCO[C@@H](CNc2nonc2/C(=N\O)N[C@@H]2Cc3ccc(F)cc32)C1,98.0,
CHEMBL5922858,CS(=N)(=O)CCC(O)CNc1nonc1/C(=N\O)N[C@@H]1Cc2ccc(F)cc21,57.8,
CHEMBL5823149,N=C(Nc1ccc(F)c(Br)c1)c1nonc1NCCC1CCC(CCNS(N)(=O)=O)CC1,51.0,
CHEMBL5872818,CC(=O)NCCSc1nonc1/C(=N/O)NC1CCc2ccc(Br)cc21,1960.0,
CHEMBL5804043,CNC(=O)CSc1nonc1/C(=N/O)NC1CCc2ccc(F)cc21,56.6,
CHEMBL6013827,Cc1cc(CSc2nonc2/C(=N/O)NC2CCc3ccc(F)cc32)[nH]c(=O)c1,106.0,
CHEMBL5879623,CS(=O)(=O)NCCSc1nonc1/C(=N/O)NC1CCc2ccc(F)cc21,82.6,
CHEMBL5830177,O=C(CNc1nonc1/C(=N/O)NC1CCc2ccc(F)cc21)NC1CC1,83.3,
CHEMBL5825917,NS(=O)(=O)NCCNc1nonc1/C(=N/O)NC1Cc2ccc(F)cc21,50.3,
CHEMBL6061312,CC(C(=O)Nc1ccc(C#N)cc1)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,2.1,
CHEMBL5833029,CC(C(=O)Nc1cnc2ccccn12)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,495.0,
CHEMBL5902943,CC(C(=O)Nc1ccc(Cl)nn1)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,13.1,
CHEMBL5799628,C[C@H](C(=O)Nc1ccc(-c2cnn(COC=O)c2)cc1)[C@H]1[C@@H]2C[C@@H](n3cnc4cc(F)c(F)cc43)C[C@@H]21,5546.0,
CHEMBL5946826,CCC(C(=O)Nc1cn2cc(Cl)ccc2n1)[C@H]1[C@@H]2C[C@@H](Oc3ccnc4ccc(F)cc34)C[C@@H]21,90.0,
CHEMBL5827913,CCOc1ccc2cncn2c1NC(=O)Nc1ccc(C#N)cc1,875.0,
CHEMBL5807566,CC(C)CNCc1c(-c2ccccc2)ccc2cncn12,875.0,
CHEMBL5869176,CC(=O)NCCSc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,27.7,
CHEMBL5765123,COC(=O)CSc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,35.7,
CHEMBL5752417,CC(=O)NCCSc1nonc1/C(=N/O)Nc1cccc(Br)c1,23.2,
CHEMBL5839818,O=c1[nH]nc(CSc2nonc2/C(=N/O)Nc2ccc(F)c(Br)c2)cc1C(F)(F)F,99.5,
CHEMBL5767767,CCNC(=O)CSc1nonc1C(=N)Nc1ccc(F)c(Br)c1,48.5,
CHEMBL5931337,CN1C[C@H](CSc2nonc2/C(=N/O)Nc2ccc(F)c(Br)c2)NC1=O,44.2,
CHEMBL5920475,Cc1nccn1CCSc1nonc1C(=N)Nc1ccc(F)c(Br)c1,96.3,
CHEMBL6042361,OC[C@@H](O)CSc1nonc1/C(=N/O)Nc1ccc(F)c(C(F)(F)F)c1,126.0,
CHEMBL5792847,CC(=O)N[C@H](CO)CSc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,93.7,
CHEMBL5950490,O=C(CSc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1)N[C@H]1C[C@@H](O)[C@@H](O)C1,97.3,
CHEMBL5782742,CNC(=O)CSc1nonc1/C(=N/O)Nc1ccc(F)c(C#N)c1,88.0,
CHEMBL5961412,C[C@H](CO)NC(=O)CSc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,44.9,
CHEMBL5832973,O=S(=O)(CCNc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1)NCC(F)F,44.0,
CHEMBL5834945,O=C(CC1c2c(Cl)cccc2-c2cncn21)C1CCCCC1,550.0,
CHEMBL6031341,Nc1ccccc1C(O)CC1c2ccccc2-c2cncn21,1000.0,
CHEMBL5798435,CC(C(O)C1CCCCC1)C1c2ccccc2-c2cncn21,550.0,
CHEMBL5914237,O=C(Nc1ccccc1)N1CCC([C@@H](O)C[C@H]2c3ccccc3-c3cncn32)CC1,1000.0,
CHEMBL5902362,NC(=O)NCCCOc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,74.7,
CHEMBL5969553,C[C@@H](CNS(N)(=O)=O)Oc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21,1551.0,
CHEMBL5816087,Cc1nc2onc(NC(=O)Nc3ccc(C#N)cc3)c2c(C)c1Cl,55000.0,
CHEMBL5888947,Cc1nc2onc(NC(=O)Nc3ccccc3Cl)c2c(C)c1Cl,100000.0,
CHEMBL5809783,Cc1nc2onc(NC(=O)Nc3ccccc3)c2c(C)c1Cl,55000.0,
CHEMBL5882843,Fc1ccc2nccc([C@H]3CC[C@@H](Cc4nc5cc(F)c(F)cc5[nH]4)CC3)c2c1,10000.0,
CHEMBL5915782,Cc1cc2nc(C[C@H]3CC[C@@H](c4ccnc5ccc(F)cc54)CC3)[nH]c2cc1C,10000.0,
CHEMBL272225,CC1(C)OC2=C(C(=O)c3ccccc3C2=O)C(O)C1Br,512.0,
CHEMBL573690,CCc1cccc(N/C(=N\O)c2nonc2N)c1,430.0,
CHEMBL1668315,O=C(Cc1cccnc1)c1cc2ccc(F)cc2[nH]1,43000.0,
CHEMBL572058,COc1ccc(N)c2ccccc12,5500.0,
CHEMBL229301,O=C(O)c1cc2ccccc2cc1O,1000000.0,
CHEMBL3286612,NNC(=S)Nc1cc(Cl)cc(Cl)c1,13000.0,
CHEMBL3286616,NNC(=S)Nc1cc(Cl)c(Cl)cc1Cl,50000.0,
CHEMBL3342394,Cc1ccc(-c2csc3ncc(C(=O)NCCc4ccc5c(c4)OCO5)n23)cc1,3600.0,
CHEMBL3800017,FC(F)(F)Oc1ccc(-c2[nH]cnc2-c2ccsc2)cc1,2100.0,
