"molecule_chembl_id","smiles","ido1_ic50","tdo_ic50"
CHEMBL5998032,OC(c1ccc(C(F)(F)F)cc1)c1c(C2CC2)sc2cncn12,305.0,2700.0
CHEMBL5952367,OC(CC1c2ccccc2-c2nncn21)C1CCCCC1,10000.0,10000.0
CHEMBL5966573,Fc1cccc2c1C(C1CCN(c3ccc(Cl)cn3)CC1)n1cncc1-2,7.23,195.0
CHEMBL5826390,CC1(C)CN(c2cc(Cl)cc3cncn23)CCC12NC(=O)NC2=O,148.0,1585.0
CHEMBL3989951,O[C@H](C[C@H]1c2c(F)cccc2-c2cncn21)[C@H]1CC[C@H](O)CC1,13.0,150.0
CHEMBL198937,Oc1cccc(-c2c[nH]nn2)c1,310000.0,100000.0
CHEMBL1442185,Cc1ccccc1Cn1nnc2c1C(=O)c1ccccc1C2=O,808.9,561.0
CHEMBL3628554,O=C1c2ccccc2C(=O)c2c1nnn2Cc1cccc(Br)c1,3163.0,768.0
CHEMBL3628555,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccc(Br)cc1,10000.0,1586.0
CHEMBL3628600,CC(=O)N1CCN(C(=O)c2ccc(Cn3nnc4c3C(=O)c3ccccc3C4=O)cc2)CC1,1097.0,176.0
CHEMBL4293499,CCOC(=O)Nc1oc2c(-c3cc(C)nc(C)c3)nccc2c1N(C(=O)OCC)c1ccc(F)c(Cl)c1,1000.0,2000.0
CHEMBL4278779,Cc1ncc(C)c2c(Nc3ccc(F)c(Cl)c3)c(N)oc12,200.0,500.0
CHEMBL4294184,Nc1oc2cnccc2c1Nc1ccc(F)c(Br)c1,200.0,500.0
CHEMBL4286735,N#Cc1ccc(Nc2c(N)oc3cnccc23)cc1,1000.0,500.0
CHEMBL4285928,Nc1oc2cnccc2c1Nc1cc(F)c(F)c(Br)c1,1000.0,2000.0
